config,signal_date,execution_date,action,signal_source,asset_id,symbol,underlying,expiry,position_contracts,order_contracts
orig,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_call_call_near,MSFT  200619C00195000,MSFT,2020-06-19,17.0,-17.0
orig,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_put_atm,MSFT  200619P00180000,MSFT,2020-06-19,-15.0,15.0
orig,2020-06-11,2020-06-12,exit,official_vix_close,TSLA_put_atm,TSLA  200619P00820000,TSLA,2020-06-19,-5.0,5.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,AAPL_call_atm,AAPL  200619C00320000,AAPL,2020-06-19,11.0,-11.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,AAPL_put_atm,AAPL  200619P00320000,AAPL,2020-06-19,-1.0,1.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,ADBE_call_atm,ADBE  200619C00390000,ADBE,2020-06-19,2.0,-2.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,ADBE_call_put_near,ADBE  200619C00375000,ADBE,2020-06-19,1.0,-1.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,ADBE_put_atm,ADBE  200619P00380000,ADBE,2020-06-19,-1.0,1.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,AMD_call_atm,AMD   200619C00055000,AMD,2020-06-19,36.0,-36.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,AMZN_call_atm,AMZN  200619C02500000,AMZN,2020-06-19,4.0,-4.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,CHTR_call_atm,CHTR  200619C00550000,CHTR,2020-06-19,1.0,-1.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,COST_call_atm,COST  200619C00310000,COST,2020-06-19,5.0,-5.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,LLY_call_atm,LLY   200619C00155000,LLY,2020-06-19,2.0,-2.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,MA_call_atm,MA    200619C00300000,MA,2020-06-19,4.0,-4.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_call_atm,MSFT  200619C00180000,MSFT,2020-06-19,14.0,-14.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_call_call_near,MSFT  200619C00195000,MSFT,2020-06-19,17.0,-17.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_put_atm,MSFT  200619P00180000,MSFT,2020-06-19,-10.0,10.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,NFLX_call_atm,NFLX  200619C00425000,NFLX,2020-06-19,1.0,-1.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,PYPL_call_atm,PYPL  200619C00155000,PYPL,2020-06-19,2.0,-2.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,PYPL_put_atm,PYPL  200619P00152500,PYPL,2020-06-19,-4.0,4.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,TSLA_put_atm,TSLA  200619P00820000,TSLA,2020-06-19,-4.0,4.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,V_call_atm,V     200619C00200000,V,2020-06-19,2.0,-2.0
larger,2020-06-11,2020-06-12,exit,official_vix_close,XOM_put_atm,XOM   200619P00045000,XOM,2020-06-19,10.0,-10.0
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,AAPL_call_atm,AAPL  200619C00320000,AAPL,2020-06-19,2.0,-2.0
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,AAPL_put_atm,AAPL  200619P00320000,AAPL,2020-06-19,-1.0,1.0
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,META_call_call_near,FB    200619C00240000,META,2020-06-19,3.0,-3.0
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_call_atm,MSFT  200619C00180000,MSFT,2020-06-19,2.0,-2.0
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_call_call_near,MSFT  200619C00195000,MSFT,2020-06-19,9.0,-9.0
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_put_atm,MSFT  200619P00180000,MSFT,2020-06-19,-1.0,1.0
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,VIX_call_vix_atm,VIX   200617C00029000,VX_FRONT,2020-06-17,-5.0,5.0
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,VIX_call_vix_call_near,VIX   200617C00035000,VX_FRONT,2020-06-17,-29.0,29.0
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,VIX_put_vix_atm,VIX   200617P00028000,VX_FRONT,2020-06-17,-118.0,118.0
orig+VIX,2020-06-11,2020-06-12,exit,official_vix_close,VIX_put_vix_put_near,VIX   200617P00025000,VX_FRONT,2020-06-17,-85.0,85.0
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,AAPL_call_atm,AAPL  200619C00320000,AAPL,2020-06-19,1.0,-1.0
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,AMD_call_atm,AMD   200619C00055000,AMD,2020-06-19,8.0,-8.0
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,BA_put_atm,BA    200619P00150000,BA,2020-06-19,1.0,-1.0
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,BA_put_put_near,BA    200619P00135000,BA,2020-06-19,1.0,-1.0
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,CHTR_call_atm,CHTR  200619C00550000,CHTR,2020-06-19,1.0,-1.0
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,COST_call_atm,COST  200619C00310000,COST,2020-06-19,4.0,-4.0
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,DAL_put_atm,DAL   200619P00025000,DAL,2020-06-19,1.0,-1.0
larger+VIX,2020-06-11,2020-06-12,exit,official_vix_close,MA_call_atm,MA    200619C00300000,MA,2020-06-19,1.0,-1.0
