snap_date,Equity-option Greek Markowitz::h0.00,Greek Markowitz + VIX::h0.00,Beta/delta-neutral + VIX::h0.00,Equal premium::h0.00,Equal risk::h0.00,VIX hedge sleeve::h0.00,Equity-option Greek Markowitz::h0.10,Greek Markowitz + VIX::h0.10,Beta/delta-neutral + VIX::h0.10,Equal premium::h0.10,Equal risk::h0.10,VIX hedge sleeve::h0.10,Equity-option Greek Markowitz::h0.25,Greek Markowitz + VIX::h0.25,Beta/delta-neutral + VIX::h0.25,Equal premium::h0.25,Equal risk::h0.25,VIX hedge sleeve::h0.25
2021-01-29,0.12372197899372665,0.21577022657607042,0.23552227630143202,-0.15096195790897643,-0.05500313264572802,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-26,0.3156462240387391,0.14665285987644505,0.07881518988471581,-0.12514355635576124,-0.12568601125811818,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,-0.3015197897675518,-0.33398205270827785,-0.3541833244318854,-0.45013033090383237,-0.26650016917082464,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-30,-0.17660236538754015,0.039889181422934475,-0.15675562058087988,1.1803865430069047,0.4080130757649303,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-30,-0.19425194129679568,-0.13083845352826384,-0.16869540534183788,-0.19146533909030125,-0.0956048683403119,0.5690235690235692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-30,-0.062999100618306,0.11709121582227035,0.05580877828683878,-0.23111483365807656,-0.17291027932619035,-0.8245614035087722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-31,-0.05097555754846882,-0.026382119216790803,-0.09973708584967189,-0.3411957770046318,-0.2775765670354067,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,-0.06063586942710845,0.05022527541599722,0.083083578202932,-0.5538553816711198,-0.3807779719821022,-0.5463414634146342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-29,0.20339933855713066,-0.07198075801594088,-0.020105539878311485,-0.14406707928790674,-0.07137364891539034,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-30,0.7887349585080923,0.6605321173616722,0.6938089180032214,0.2970252073709252,0.29251144690760544,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
